silhouette_score,calinski_harabasz,davies_bouldin,method,adjusted_rand_index,normalized_mutual_info,purity
0.023555340245366,190.6971080343624,2.620641798705404,baseline1_pca_kmeans,,,
0.233732521533966,518.0732857476995,1.2874716470435683,baseline2_direct_kmeans,,,
0.0885336175560951,191.4571022901013,2.3792779425579367,conv_agglomerative,,,
,,,conv_agglomerative_supervised,0.1305564554982129,0.2472628175263138,0.3253253253253253
,,,conv_dbscan,,,
,,,conv_dbscan_supervised,0.0,0.0,0.1001001001001001
0.1413036286830902,211.0668415054496,1.994073449711875,conv_kmeans,,,
,,,conv_kmeans_supervised,0.1404639181317624,0.2643204293407852,0.3613613613613614
0.151197150349617,250.2194293260835,1.7446659316374962,kmeans,,,
0.023555340245366,190.6971080343624,2.620641798705404,pca_kmeans,,,
